City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tazovsky,67.4667,78.7,3.78,83,100,23.51,RU,1712896215
1,egilsstadir,65.2653,-14.3948,33.71,80,75,5.75,IS,1712896215
2,bredasdorp,-34.5322,20.0403,53.42,80,28,5.95,ZA,1712896215
3,grytviken,-54.2811,-36.5092,32.09,78,40,9.64,GS,1712896215
4,cannonvale,-20.2833,148.7,78.19,71,90,13.51,AU,1712896215
5,waitangi,-43.9535,-176.5597,62.82,93,98,10.0,NZ,1712896215
6,port blair,11.6667,92.75,91.44,66,20,9.22,IN,1712896505
7,papatowai,-46.5619,169.4708,47.62,71,79,4.85,NZ,1712896215
8,ushuaia,-54.8,-68.3,47.86,71,20,20.71,AR,1712896325
9,port lincoln,-34.7333,135.8667,61.66,56,31,10.42,AU,1712896216
10,weno,7.4515,151.8468,87.75,79,100,9.22,FM,1712896506
11,toamasina,-18.1667,49.3833,77.0,94,20,5.75,MG,1712896506
12,gallup,35.5281,-108.7426,48.04,29,0,0.0,US,1712896500
13,huarmey,-10.0681,-78.1522,72.27,84,75,8.86,PE,1712896216
14,ta`u,-14.2336,-169.5144,84.69,77,33,12.06,AS,1712896216
15,uturoa,-16.7333,-151.4333,83.77,80,70,20.98,PF,1712896216
16,port-aux-francais,-49.35,70.2167,43.25,89,99,17.78,TF,1712896216
17,ixtapa,20.7,-105.2,73.22,88,0,3.44,MX,1712896217
18,labasa,-16.4167,179.3833,82.31,82,100,4.74,FJ,1712896217
19,albany,42.6001,-73.9662,61.09,82,100,8.01,US,1712895929
20,ribeira brava,32.65,-17.0667,75.7,26,3,4.05,PT,1712896217
21,blackmans bay,-43.0167,147.3167,64.53,74,93,6.51,AU,1712896217
22,tofol,5.3248,163.0078,78.58,89,100,5.75,FM,1712896218
23,salalah,17.0151,54.0924,82.0,68,60,12.08,OM,1712896218
24,rahimah,26.7079,50.0619,75.42,66,39,12.24,SA,1712896218
25,stanley,54.868,-1.6985,50.77,87,100,9.86,GB,1712896507
